date,region,state,cases,deaths
4/5/2020,Nordeste,Pernambuco,201,21
4/5/2020,Nordeste,Piauí,23,4
4/5/2020,Nordeste,Rio Grande do Norte,242,7
4/5/2020,Nordeste,Sergipe,32,3
4/5/2020,Norte,Acre,48,0
4/5/2020,Norte,Amapá,29,2
4/5/2020,Norte,Amazonas,417,14
4/5/2020,Norte,Pará,86,1
4/5/2020,Norte,Rondônia,12,1
4/5/2020,Norte,Roraima,42,1
4/5/2020,Norte,Tocantins,17,0
4/5/2020,Sudeste,Espírito Santo,166,6
4/5/2020,Sudeste,Minas Gerais,498,6
4/5/2020,Sudeste,Rio de Janeiro,1394,64
4/5/2020,Sudeste,São Paulo,4620,275
4/5/2020,Sul,Paraná,438,9
4/5/2020,Sul,Rio Grande do Sul,418,7
4/5/2020,Sul,Santa Catarina,357,10
4/6/2020,Centro-Oeste,Distrito Federal,473,10
4/6/2020,Centro-Oeste,Goiás,119,5
4/6/2020,Centro-Oeste,Mato Grosso,76,1
4/6/2020,Centro-Oeste,Mato Grosso do Sul,66,1
4/6/2020,Nordeste,Alagoas,31,2
4/6/2020,Nordeste,Bahia,431,10
4/6/2020,Nordeste,Ceará,1013,29
4/6/2020,Nordeste,Maranhão,133,2
4/6/2020,Nordeste,Paraíba,35,4
4/6/2020,Nordeste,Pernambuco,223,30
4/6/2020,Nordeste,Piauí,23,4
4/6/2020,Nordeste,Rio Grande do Norte,246,7
4/6/2020,Nordeste,Sergipe,32,4
4/6/2020,Norte,Acre,50,0
4/6/2020,Norte,Amapá,34,2
4/6/2020,Norte,Amazonas,532,19
4/6/2020,Norte,Pará,102,3
4/6/2020,Norte,Rondônia,14,1
4/6/2020,Norte,Roraima,42,1
4/6/2020,Norte,Tocantins,17,0
4/6/2020,Sudeste,Espírito Santo,194,6
4/6/2020,Sudeste,Minas Gerais,525,9
4/6/2020,Sudeste,Rio de Janeiro,1461,71
4/6/2020,Sudeste,São Paulo,4866,304
4/6/2020,Sul,Paraná,458,11
4/6/2020,Sul,Rio Grande do Sul,481,7
4/6/2020,Sul,Santa Catarina,379,10
4/7/2020,Centro-Oeste,Distrito Federal,492,12
4/7/2020,Centro-Oeste,Goiás,133,5
4/7/2020,Centro-Oeste,Mato Grosso,78,1
4/7/2020,Centro-Oeste,Mato Grosso do Sul,80,2
4/7/2020,Nordeste,Alagoas,32,2
4/7/2020,Nordeste,Bahia,456,12
4/7/2020,Nordeste,Ceará,1051,31
4/7/2020,Nordeste,Maranhão,172,4
4/7/2020,Nordeste,Paraíba,36,4
4/7/2020,Nordeste,Pernambuco,352,34
